time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20230703:1610,299.77,36.82,17.03,8.28,0,107917.2
20230703:1710,342.71,27.51,16.56,7.52,0,123375.6
20230703:1810,89.36,18.28,16.03,6.69,0,32169.6
20230703:1910,57.02,9.49,15.2,5.86,0,20527.2
20230703:2010,0.91,1.48,14.13,5.52,0,327.6
20230703:2110,0,0,13.23,5.24,0,0
20230703:2210,0,0,12.82,5.38,0,0
20230703:2310,0,0,12.64,5.45,0,0
20230704:0010,0,0,12.51,4.55,0,0
20230704:0110,0,0,12.37,4.41,0,0
20230704:0210,0,0,12.14,4.28,0,0
20230704:0310,0,0,11.98,4.21,0,0
20230704:0410,0,0,11.9,3.79,0,0
20230704:0510,12.67,8.45,12.01,3.52,0,4561.2
20230704:0610,41.62,17.17,12.44,3.86,0,14983.2
20230704:0710,73.79,26.37,12.68,2.62,0,26564.4
20230704:0810,109.73,35.69,12.96,2.14,0,39502.8
20230704:0910,150.41,44.73,13.75,2.14,0,54147.6
20230704:1010,139.06,52.82,14.47,2.21,0,50061.6
20230704:1110,247.85,58.9,14.64,1.93,0,89226
20230704:1210,231.76,61.42,15.44,2.28,0,83433.6
20230704:1310,142.84,59.42,14.87,2.9,0,51422.4
20230704:1410,148.52,53.68,14.32,3.66,0,53467.2
20230704:1510,101.22,45.75,14.07,3.17,0,36439.2
20230704:1610,75.68,36.79,14.03,2.07,0,27244.8
20230704:1710,45.41,27.47,14.07,2.21,0,16347.6
20230704:1810,25.54,18.25,13.29,3.03,0,9194.4
20230704:1910,9.05,9.45,12.85,1.66,0,3258
20230704:2010,0.91,1.43,12.04,2.41,0,327.6
20230704:2110,0,0,11.63,3.03,0,0
20230704:2210,0,0,11.65,3.17,0,0
20230704:2310,0,0,11.4,3.03,0,0
20230705:0010,0,0,10.86,2.9,0,0
20230705:0110,0,0,10.48,2.83,0,0
20230705:0210,0,0,10.33,2.83,0,0
20230705:0310,0,0,10.51,2.9,0,0
20230705:0410,0,0,10.48,3.31,0,0
20230705:0510,42.54,8.36,10.93,3.72,0,15314.4
20230705:0610,140.02,17.08,11.71,4.07,0,50407.2
20230705:0710,0,0,13.06,5.1,0,0
20230705:0810,530.89,35.6,13.94,4.9,0,191120.4
20230705:0910,701.91,44.63,14.93,5.38,0,252687.6
20230705:1010,841.43,52.73,16,5.86,0,302914.8
20230705:1110,745.97,58.8,16.69,6.28,0,268549.2
20230705:1210,958.03,61.33,16.83,6.48,0,344890.8
20230705:1310,997.72,59.34,16.75,6.48,0,359179.2
20230705:1410,893.34,53.62,16.56,6.48,0,321602.4
20230705:1510,607.32,45.71,16.21,6.28,0,218635.2
20230705:1610,567.24,36.75,16.36,6.34,0,204206.4
20230705:1710,359.19,27.44,15.97,5.86,0,129308.4
20230705:1810,158.5,18.21,15.64,5.52,0,57060
20230705:1910,54.3,9.41,14.98,4.62,0,19548
20230705:2010,0,0,14.27,4.28,0,0
20230705:2110,0,0,13.31,3.72,0,0
20230705:2210,0,0,12.76,3.38,0,0
20230705:2310,0,0,12.13,3.03,0,0
20230706:0010,0,0,11.79,2.76,0,0
20230706:0110,0,0,11.54,2.62,0,0
20230706:0210,0,0,11.34,2.62,0,0
20230706:0310,0,0,11.07,2.62,0,0
20230706:0410,0,0,10.88,2.69,0,0
20230706:0510,40.73,8.26,11.11,2.69,0,14662.8
20230706:0610,104.54,16.98,12.4,2.62,0,37634.4
20230706:0710,173.38,26.18,14.07,3.38,0,62416.8
20230706:0810,537.75,35.5,15.18,4.07,0,193590
20230706:0910,702.89,44.53,16.35,4.62,0,253040.4
20230706:1010,379.73,52.62,17.39,5.38,0,136702.8
20230706:1110,835.63,58.7,17.91,5.52,0,300826.8
20230706:1210,496.88,61.23,18.39,6.28,0,178876.8
20230706:1310,849.3,59.26,18.42,6.55,0,305748
20230706:1410,855.77,53.56,18.34,6.62,0,308077.2
20230706:1510,571.1,45.66,18.43,6.34,0,205596
20230706:1610,554.25,36.7,18.28,6,0,199530
20230706:1710,348.67,27.39,17.95,5.72,0,125521.2
20230706:1810,158.7,18.16,17.47,5.31,0,57132
20230706:1910,49.78,9.36,16.68,4.48,0,17920.8
20230706:2010,0,0,15.74,4,0,0
20230706:2110,0,0,14.83,3.93,0,0
20230706:2210,0,0,14.23,4,0,0
20230706:2310,0,0,13.81,4,0,0
20230707:0010,0,0,13.35,3.86,0,0
20230707:0110,0,0,13.1,3.66,0,0
20230707:0210,0,0,12.86,3.45,0,0
20230707:0310,0,0,12.71,3.17,0,0
20230707:0410,0,0,12.33,2.83,0,0
20230707:0510,40.73,8.15,12.34,2.62,0,14662.8
20230707:0610,134.28,16.88,13.82,2.48,0,48340.8
20230707:0710,341.76,26.07,16.24,3.17,0,123033.6
20230707:0810,555.29,35.4,18.15,3.72,0,199904.4
20230707:0910,746.44,44.43,19.69,4.07,0,268718.4
20230707:1010,894.39,52.52,21.03,4.48,0,321980.4
20230707:1110,991.58,58.59,21.84,4.76,0,356968.8
20230707:1210,1003.75,61.13,22.7,5.03,0,361350
20230707:1310,1000.32,59.17,23.21,4.9,0,360115.2
20230707:1410,896,53.49,23.48,4.62,0,322560
20230707:1510,773.94,45.6,23.43,3.66,0,278618.4
20230707:1610,576.55,36.65,23.84,3.66,0,207558
20230707:1710,361.98,27.34,24.02,3.72,0,130312.8
20230707:1810,158.03,18.11,23.7,3.45,0,56890.8
20230707:1910,47.97,9.3,22.45,3.31,0,17269.2
20230707:2010,0,0,20.7,3.45,0,0
20230707:2110,0,0,19.52,3.79,0,0
20230707:2210,0,0,19.23,4.21,0,0
20230707:2310,0,0,19.29,4.62,0,0
20230708:0010,0,0,19.46,4.97,0,0
20230708:0110,0,0,19.68,4.97,0,0
20230708:0210,0,0,19.65,4.76,0,0
20230708:0310,0,0,19.51,4.41,0,0
20230708:0410,0,0,18.92,3.79,0,0
20230708:0510,26.25,8.04,18.34,3.24,0,9450
20230708:0610,39.73,16.77,18.72,2.76,0,14302.8
20230708:0710,50.14,25.97,18.77,3.31,0,18050.4
20230708:0810,72.84,35.29,18.93,2.69,0,26222.4
20230708:0910,224.56,44.32,19.39,2.41,0,80841.6
20230708:1010,141.9,52.4,19.99,2.83,0,51084
20230708:1110,396.44,58.47,21.33,4.14,0,142718.4
20230708:1210,103.11,61.02,21.59,5.24,0,37119.6
20230708:1310,249.74,59.08,20.52,5.17,0,89906.4
20230708:1410,260.65,53.41,20.54,4.41,0,93834
20230708:1510,158.92,45.54,19.76,4.83,0,57211.2
20230708:1610,179.82,36.6,19.75,3.72,0,64735.2
20230708:1710,70.95,27.28,19.84,3.59,0,25542
20230708:1810,85.59,18.05,19.9,3.52,0,30812.4
20230708:1910,9.05,9.23,18.47,2.9,0,3258
20230708:2010,0,0,17.94,2.41,0,0
20230708:2110,0,0,16.96,2,0,0
20230708:2210,0,0,16.02,1.93,0,0
20230708:2310,0,0,15.16,1.93,0,0
20230709:0010,0,0,14.41,1.72,0,0
20230709:0110,0,0,13.41,1.52,0,0
20230709:0210,0,0,12.79,1.52,0,0
20230709:0310,0,0,12.39,1.59,0,0
20230709:0410,0,0,12.47,1.66,0,0
20230709:0510,7.24,7.93,13.04,1.72,0,2606.4
20230709:0610,19.87,16.66,14.04,1.86,0,7153.2
20230709:0710,238.41,25.86,15.41,1.66,0,85827.6
20230709:0810,397.81,35.18,16.78,2.55,0,143211.6
20230709:0910,450.93,44.21,17.83,3.93,0,162334.8
20230709:1010,229.87,52.29,18.84,4.9,0,82753.2
20230709:1110,746.66,58.35,19.54,5.38,0,268797.6
20230709:1210,918.59,60.9,20.29,5.52,0,330692.4
20230709:1310,886.69,58.98,19.86,6,0,319208.4
20230709:1410,669.68,53.33,19.41,5.45,0,241084.8
20230709:1510,727.3,45.47,20.17,5.31,0,261828
20230709:1610,526.39,36.53,19.2,5.24,0,189500.4
20230709:1710,294.48,27.22,19.1,4.55,0,106012.8
20230709:1810,151.29,17.98,18.26,4.41,0,54464.4
20230709:1910,12.67,9.16,17.93,3.52,0,4561.2
20230709:2010,0,0,16.88,3.03,0,0
20230709:2110,0,0,15.87,2.41,0,0
20230709:2210,0,0,14.86,2.07,0,0
20230709:2310,0,0,13.93,2.07,0,0
20230710:0010,0,0,13.27,2.28,0,0
20230710:0110,0,0,12.85,2.55,0,0
20230710:0210,0,0,12.66,2.62,0,0
20230710:0310,0,0,12.52,2.76,0,0
20230710:0410,0,0,12.4,2.83,0,0
20230710:0510,41.63,7.81,12.71,2.9,0,14986.8
20230710:0610,131.8,16.55,14.02,2.9,0,47448
20230710:0710,176.76,25.75,15.89,5.17,0,63633.6
20230710:0810,164.67,35.07,16.97,5.79,0,59281.2
20230710:0910,290.78,44.09,17.56,6.34,0,104680.8
20230710:1010,360.23,52.17,18.4,6.97,0,129682.8
20230710:1110,417.45,58.23,18.34,7.45,0,150282
20230710:1210,353.16,60.78,17.53,5.93,0,127137.6
20230710:1310,192.98,58.87,17.96,7.79,0,69472.8
20230710:1410,107.84,53.24,18.01,7.31,0,38822.4
20230710:1510,309.85,45.39,19.16,7.79,0,111546
20230710:1610,200.92,36.46,20.06,7.93,0,72331.2
20230710:1710,137.07,27.16,19.62,6.76,0,49345.2
20230710:1810,48.24,17.91,18.49,5.72,0,17366.4
20230710:1910,46.16,9.09,17.87,5.03,0,16617.6
20230710:2010,0,0,17.25,4.14,0,0
20230710:2110,0,0,16.42,3.86,0,0
20230710:2210,0,0,16.11,5.03,0,0
20230710:2310,0,0,16.29,7.03,0,0
20230711:0010,0,0,16.67,7.17,0,0
20230711:0110,0,0,16.74,6.07,0,0
20230711:0210,0,0,16.43,5.38,0,0
20230711:0310,0,0,16.01,4.76,0,0
20230711:0410,0,0,15.38,4.48,0,0
20230711:0510,32.58,7.69,14.94,4.34,0,11728.8
20230711:0610,108.87,16.43,14.99,4.28,0,39193.2
20230711:0710,150.64,25.63,15.18,4.21,0,54230.4
20230711:0810,166.56,34.95,16.13,5.38,0,59961.6
20230711:0910,154.19,43.97,16.7,5.31,0,55508.4
20230711:1010,152.3,52.04,17.23,5.66,0,54828
20230711:1110,152.3,58.09,17.58,6.14,0,54828
20230711:1210,201.49,60.65,17.62,6.28,0,72536.4
20230711:1310,400.83,58.76,18.15,6.34,0,144298.8
20230711:1410,517.67,53.15,18.64,6,0,186361.2
20230711:1510,230.27,45.31,18.92,6.28,0,82897.2
20230711:1610,314.13,36.39,18.56,5.86,0,113086.8
20230711:1710,190.36,27.08,17.76,5.59,0,68529.6
20230711:1810,147.72,17.84,17.06,4.97,0,53179.2
20230711:1910,49.78,9.01,16.63,3.93,0,17920.8
20230711:2010,0,0,15.74,3.66,0,0
20230711:2110,0,0,14.66,3.79,0,0
20230711:2210,0,0,14.19,3.72,0,0
20230711:2310,0,0,13.72,3.52,0,0
20230712:0010,0,0,13.4,3.72,0,0
20230712:0110,0,0,13.32,3.79,0,0
20230712:0210,0,0,13.26,3.52,0,0
20230712:0310,0,0,13.2,3.45,0,0
20230712:0410,0,0,13.08,3.59,0,0
20230712:0510,9.05,7.57,12.92,3.66,0,3258
20230712:0610,65.27,16.3,13.6,3.79,0,23497.2
20230712:0710,299.19,25.51,14.32,5.38,0,107708.4
20230712:0810,314.64,34.83,15.2,6.14,0,113270.4
20230712:0910,366.59,43.85,16.28,6,0,131972.4
20230712:1010,221.36,51.91,16.58,5.79,0,79689.6
20230712:1110,455.78,57.96,17.46,5.93,0,164080.8
20230712:1210,763.24,60.51,17.95,6.07,0,274766.4
20230712:1310,890.93,58.64,18.22,6.28,0,320734.8
20230712:1410,922.61,53.05,18.33,6.69,0,332139.6
20230712:1510,775.25,45.22,18.06,6.76,0,279090
20230712:1610,562.46,36.31,17.57,6.62,0,202485.6
20230712:1710,358.45,27,17.29,6.07,0,129042
20230712:1810,155.77,17.76,16.84,5.45,0,56077.2
20230712:1910,53.4,8.92,16.34,4.83,0,19224
20230712:2010,0,0,15.68,4.41,0,0
20230712:2110,0,0,14.99,4,0,0
20230712:2210,0,0,14.5,3.86,0,0
20230712:2310,0,0,14.01,3.79,0,0
20230713:0010,0,0,14,3.72,0,0
20230713:0110,0,0,13.78,3.59,0,0
20230713:0210,0,0,13.55,3.59,0,0
20230713:0310,0,0,13.59,3.59,0,0
20230713:0410,0,0,13.43,3.38,0,0
20230713:0510,18.1,7.44,13.57,3.31,0,6516
20230713:0610,115.34,16.18,14.16,3.38,0,41522.4
20230713:0710,92.71,25.38,14.69,3.52,0,33375.6
20230713:0810,169.4,34.71,15.54,3.66,0,60984
20230713:0910,363.84,43.72,16.48,3.93,0,130982.4
20230713:1010,313.54,51.77,17.46,4.48,0,112874.4
20230713:1110,217.58,57.81,17.09,4.83,0,78328.8
20230713:1210,593.8,60.37,17.89,5.03,0,213768
20230713:1310,442.04,58.51,18.23,5.38,0,159134.4
20230713:1410,667.72,52.94,18.4,5.72,0,240379.2
20230713:1510,679.74,45.13,18.25,5.45,0,244706.4
20230713:1610,552.39,36.22,18.09,5.24,0,198860.4
20230713:1710,276.98,26.92,18.1,5.1,0,99712.8
20230713:1810,140.34,17.67,17.62,4.28,0,50522.4
20230713:1910,46.16,8.83,16.62,3.31,0,16617.6
20230713:2010,0,0,16.04,2.69,0,0
20230713:2110,0,0,15.34,2.14,0,0
20230713:2210,0,0,14.9,1.86,0,0
20230713:2310,0,0,14.59,1.93,0,0
20230714:0010,0,0,14.35,2.07,0,0
20230714:0110,0,0,14.27,2.28,0,0
20230714:0210,0,0,14.18,2.69,0,0
20230714:0310,0,0,13.97,3.03,0,0
20230714:0410,0,0,13.9,3.1,0,0
20230714:0510,15.39,7.3,14.03,3.38,0,5540.4
20230714:0610,35,16.05,14.3,3.66,0,12600
20230714:0710,62.43,25.26,14.41,4.34,0,22474.8
20230714:0810,87.98,34.58,14.44,5.31,0,31672.8
20230714:0910,101.22,43.59,14.64,5.72,0,36439.2
20230714:1010,108.79,51.63,14.99,6.14,0,39164.4
20230714:1110,106.9,57.67,15.11,6.21,0,38484
20230714:1210,78.52,60.22,15.31,6.62,0,28267.2
20230714:1310,95.54,58.38,16.04,7.59,0,34394.4
20230714:1410,126.76,52.83,16.65,8.14,0,45633.6
20230714:1510,130.55,45.03,17.14,8,0,46998
20230714:1610,238.89,36.13,17.39,6.83,0,86000.4
20230714:1710,288.98,26.83,18.01,6,0,104032.8
20230714:1810,124.53,17.57,18.26,5.66,0,44830.8
20230714:1910,9.05,8.73,18.1,5.24,0,3258
20230714:2010,0,0,17.23,5.17,0,0
20230714:2110,0,0,16.42,5.03,0,0
20230714:2210,0,0,15.61,4.76,0,0
20230714:2310,0,0,15.06,4.83,0,0
20230715:0010,0,0,14.71,5.17,0,0
20230715:0110,0,0,14.62,5.59,0,0
20230715:0210,0,0,14.7,6.41,0,0
20230715:0310,0,0,14.58,5.86,0,0
20230715:0410,0,0,14.39,5.59,0,0
20230715:0510,38.92,7.16,14.27,5.79,0,14011.2
20230715:0610,123.26,15.92,14.53,5.38,0,44373.6
20230715:0710,325.24,25.13,14.88,5.31,0,117086.4
20230715:0810,421.39,34.45,15.05,6.48,0,151700.4
20230715:0910,413.64,43.45,16.24,6.55,0,148910.4
20230715:1010,98.38,51.49,15.84,7.86,0,35416.8
20230715:1110,876.23,57.51,16.47,8.21,0,315442.8
20230715:1210,146.63,60.07,17.08,7.59,0,52786.8
20230715:1310,713.57,58.24,16.59,8.62,0,256885.2
20230715:1410,210.95,52.7,16.9,8,0,75942
20230715:1510,506.37,44.92,17.1,8.14,0,182293.2
20230715:1610,462.85,36.03,16.47,7.59,0,166626
20230715:1710,76.62,26.73,16.53,7.31,0,27583.2
20230715:1810,142.01,17.47,15.34,7.17,0,51123.6
20230715:1910,46.16,8.62,15.05,6.97,0,16617.6
20230715:2010,0,0,14.8,7.38,0,0
20230715:2110,0,0,14.39,7.1,0,0
20230715:2210,0,0,14.26,6.83,0,0
20230715:2310,0,0,14.22,6.34,0,0
20230716:0010,0,0,13.89,6.07,0,0
20230716:0110,0,0,13.48,6,0,0
20230716:0210,0,0,13.21,5.86,0,0
20230716:0310,0,0,12.98,5.66,0,0
20230716:0410,0,0,12.89,5.45,0,0
20230716:0510,15.39,7.02,12.97,5.31,0,5540.4
20230716:0610,124.32,15.78,13.25,5.45,0,44755.2
20230716:0710,184.58,24.99,13.83,6.14,0,66448.8
20230716:0810,373.09,34.31,14.65,6.69,0,134312.4
20230716:0910,365.63,43.31,15.39,6.48,0,131626.8
20230716:1010,267.57,51.34,15.98,6.21,0,96325.2
20230716:1110,566.92,57.35,16.27,6.55,0,204091.2
20230716:1210,462.37,59.91,16.96,6.34,0,166453.2
20230716:1310,770.43,58.09,17.41,6.21,0,277354.8
20230716:1410,248.12,52.58,17.23,5.93,0,89323.2
20230716:1510,431.82,44.81,15.84,5.93,0,155455.2
20230716:1610,184.68,35.93,15.71,5.59,0,66484.8
20230716:1710,245.58,26.63,15.42,5.79,0,88408.8
20230716:1810,58.65,17.37,15.41,5.17,0,21114
20230716:1910,48.87,8.51,14.34,4.34,0,17593.2
20230716:2010,0,0,13.86,3.79,0,0
20230716:2110,0,0,13.5,3.72,0,0
20230716:2210,0,0,13.14,3.93,0,0
20230716:2310,0,0,12.8,3.66,0,0
20230717:0010,0,0,12.4,3.52,0,0
20230717:0110,0,0,12.35,3.79,0,0
20230717:0210,0,0,12.2,3.86,0,0
20230717:0310,0,0,12.13,3.66,0,0
20230717:0410,0,0,11.75,3.45,0,0
20230717:0510,34.39,6.88,11.7,3.59,0,12380.4
20230717:0610,124.5,15.64,12.59,3.72,0,44820
20230717:0710,210.43,24.85,13.28,4.21,0,75754.8
20230717:0810,506.92,34.17,14.37,4.62,0,182491.2
20230717:0910,716.67,43.17,15.32,4.9,0,258001.2
20230717:1010,855.25,51.19,16.33,5.1,0,307890
20230717:1110,968.41,57.19,17,5.31,0,348627.6
20230717:1210,1055.97,59.74,17.59,5.59,0,380149.2
20230717:1310,1039.3,57.94,17.64,5.86,0,374148
20230717:1410,910.87,52.44,17.69,6.07,0,327913.2
20230717:1510,760.64,44.69,17.65,5.86,0,273830.4
20230717:1610,413.32,35.82,16.84,5.24,0,148795.2
20230717:1710,272.37,26.52,16.61,4.9,0,98053.2
20230717:1810,124.59,17.26,16.14,4.34,0,44852.4
20230717:1910,47.06,8.39,15.71,3.79,0,16941.6
20230717:2010,0,0,14.73,3.24,0,0
20230717:2110,0,0,13.87,2.76,0,0
20230717:2210,0,0,13.15,2.34,0,0
20230717:2310,0,0,12.66,2.07,0,0
20230718:0010,0,0,12.19,1.86,0,0
20230718:0110,0,0,11.79,1.66,0,0
20230718:0210,0,0,11.39,1.45,0,0
20230718:0310,0,0,11.09,1.38,0,0
20230718:0410,0,0,10.83,1.52,0,0
20230718:0510,11.77,6.73,11.11,1.31,0,4237.2
20230718:0610,39.73,15.49,12.78,1.31,0,14302.8
20230718:0710,123.79,24.71,14.04,1.79,0,44564.4
20230718:0810,341.37,34.03,14.99,1.93,0,122893.2
20230718:0910,469.04,43.02,15.82,2.55,0,168854.4
20230718:1010,528.86,51.03,16.7,3.52,0,190389.6
20230718:1110,730.2,57.02,16.46,3.17,0,262872
20230718:1210,642.5,59.57,16.65,3.45,0,231300
20230718:1310,472.97,57.78,17.14,3.79,0,170269.2
20230718:1410,469.17,52.3,17.92,4.07,0,168901.2
20230718:1510,298.19,44.57,18.67,4.48,0,107348.4
20230718:1610,263.19,35.7,18.51,4.28,0,94748.4
20230718:1710,164.05,26.41,18.36,4.55,0,59058
20230718:1810,60.54,17.14,17.57,4.28,0,21794.4
20230718:1910,12.67,8.27,16.91,3.17,0,4561.2
20230718:2010,0,0,16.25,2.97,0,0
20230718:2110,0,0,15.81,3.03,0,0
20230718:2210,0,0,15.57,3.17,0,0
20230718:2310,0,0,15.28,3.17,0,0
20230719:0010,0,0,15.02,3.24,0,0
20230719:0110,0,0,14.88,3.24,0,0
20230719:0210,0,0,14.86,3.24,0,0
20230719:0310,0,0,14.93,3.31,0,0
20230719:0410,0,0,15.09,3.24,0,0
20230719:0510,31.68,6.58,15.23,3.31,0,11404.8
20230719:0610,121.55,15.35,15.39,3.24,0,43758
20230719:0710,226.77,24.57,15.79,3.66,0,81637.2
20230719:0810,367.01,33.89,16.5,3.72,0,132123.6
20230719:0910,576.69,42.87,17.29,3.86,0,207608.4
20230719:1010,645.8,50.87,18.13,4,0,232488
20230719:1110,838.33,56.85,18.82,4.14,0,301798.8
20230719:1210,771.68,59.39,19.58,4.21,0,277804.8
20230719:1310,342.92,57.62,19.91,4.14,0,123451.2
20230719:1410,540.13,52.16,19.95,4.07,0,194446.8
20230719:1510,409.72,44.44,19.79,3.93,0,147499.2
20230719:1610,567.45,35.58,19.59,4.07,0,204282
20230719:1710,322.71,26.29,19.39,4.14,0,116175.6
20230719:1810,150.78,17.02,18.52,3.31,0,54280.8
20230719:1910,48.87,8.14,17.63,3.31,0,17593.2
20230719:2010,0,0,16.61,2.97,0,0
20230719:2110,0,0,15.39,2.76,0,0
20230719:2210,0,0,14.5,2.62,0,0
20230719:2310,0,0,13.8,2.34,0,0
20230720:0010,0,0,13.25,2.07,0,0
20230720:0110,0,0,12.38,1.93,0,0
20230720:0210,0,0,11.54,1.72,0,0
20230720:0310,0,0,10.66,1.59,0,0
20230720:0410,0,0,10.45,1.31,0,0
20230720:0510,37.11,6.42,10.66,1.1,0,13359.6
20230720:0610,120.82,15.2,12.09,0.55,0,43495.2
20230720:0710,296,24.42,14.12,0.62,0,106560
20230720:0810,525.85,33.74,15.36,0.76,0,189306
20230720:0910,718.77,42.71,16.2,1.24,0,258757.2
20230720:1010,784.43,50.7,16.76,1.66,0,282394.8
20230720:1110,849.16,56.67,17.17,1.86,0,305697.6
20230720:1210,896.59,59.21,17.83,2.14,0,322772.4
20230720:1310,436.29,57.44,17.96,2.34,0,157064.4
20230720:1410,711.78,52.01,18.05,2.41,0,256240.8
20230720:1510,274.81,44.3,17.77,2.62,0,98931.6
20230720:1610,198.2,35.45,17.92,2.69,0,71352
20230720:1710,278,26.16,17.81,2.9,0,100080
20230720:1810,150.87,16.89,17.17,2.83,0,54313.2
20230720:1910,47.06,8,15.79,2.07,0,16941.6
20230720:2010,0,0,14.94,1.59,0,0
20230720:2110,0,0,13.96,1.45,0,0
20230720:2210,0,0,13.21,1.45,0,0
20230720:2310,0,0,12.2,1.66,0,0
20230721:0010,0,0,11.34,2,0,0
20230721:0110,0,0,10.83,2.14,0,0
20230721:0210,0,0,10.27,2.14,0,0
20230721:0310,0,0,9.82,2,0,0
20230721:0410,0,0,9.2,1.93,0,0
20230721:0510,35.3,6.26,9.03,1.79,0,12708
20230721:0610,100.14,15.04,11.33,1.45,0,36050.4
20230721:0710,208.55,24.27,13.36,2.28,0,75078
20230721:0810,404.9,33.59,14.25,2.9,0,145764
20230721:0910,724.03,42.56,15.41,3.1,0,260650.8
20230721:1010,732.02,50.53,16.47,3.17,0,263527.2
20230721:1110,280.95,56.49,17.03,3.45,0,101142
20230721:1210,186.36,59.02,17.72,3.66,0,67089.6
20230721:1310,182.57,57.27,18.09,4.21,0,65725.2
20230721:1410,221.36,51.85,18.01,4.62,0,79689.6
20230721:1510,335.58,44.16,17.8,4.76,0,120808.8
20230721:1610,316.36,35.32,17.6,4.97,0,113889.6
20230721:1710,181.62,26.03,16.95,5.1,0,65383.2
20230721:1810,116.36,16.76,16.2,4.9,0,41889.6
20230721:1910,46.16,7.86,15.33,4.28,0,16617.6
20230721:2010,0,0,14.52,3.86,0,0
20230721:2110,0,0,13.88,3.38,0,0
20230721:2210,0,0,13.49,3.1,0,0
20230721:2310,0,0,13.22,2.9,0,0
20230722:0010,0,0,13.15,2.83,0,0
20230722:0110,0,0,12.9,2.83,0,0
20230722:0210,0,0,12.9,3.03,0,0
20230722:0310,0,0,13.12,3.45,0,0
20230722:0410,0,0,13.26,3.79,0,0
20230722:0510,30.77,6.1,13.35,3.72,0,11077.2
20230722:0610,66.22,14.89,13.4,3.93,0,23839.2
20230722:0710,84.19,24.12,13.82,4.41,0,30308.4
20230722:0810,87.03,33.43,14.28,4.9,0,31330.8
20230722:0910,128.65,42.4,14.8,5.24,0,46314
20230722:1010,107.84,50.36,15.06,5.52,0,38822.4
20230722:1110,133.38,56.3,14.78,5.66,0,48016.8
20230722:1210,155.14,58.83,14.85,6.34,0,55850.4
20230722:1310,352.93,57.08,14.69,6.41,0,127054.8
20230722:1410,150.41,51.68,14.71,6.48,0,54147.6
20230722:1510,222.77,44.01,15.03,6.41,0,80197.2
20230722:1610,156.09,35.18,15.44,6.21,0,56192.4
20230722:1710,97.44,25.89,15.64,6.14,0,35078.4
20230722:1810,27.43,16.62,15.62,6.07,0,9874.8
20230722:1910,14.48,7.72,15.46,6.34,0,5212.8
20230722:2010,0,0,15.36,6.83,0,0
20230722:2110,0,0,15.27,7.03,0,0
20230722:2210,0,0,15.32,6.69,0,0
20230722:2310,0,0,15.48,6,0,0
20230723:0010,0,0,15.6,5.38,0,0
20230723:0110,0,0,15.55,5.03,0,0
20230723:0210,0,0,15.49,4.9,0,0
20230723:0310,0,0,15.39,4.83,0,0
20230723:0410,0,0,15.18,4.83,0,0
20230723:0510,11.77,5.93,14.93,4.83,0,4237.2
20230723:0610,85.76,14.73,15.18,5.03,0,30873.6
20230723:0710,177.36,23.96,15.61,4.83,0,63849.6
20230723:0810,403.33,33.27,16.23,6.55,0,145198.8
20230723:0910,407.2,42.23,17.3,6.97,0,146592
20230723:1010,632.47,50.18,17.86,6.9,0,227689.2
20230723:1110,735.21,56.11,18.46,6.69,0,264675.6
20230723:1210,1006.09,58.63,18.73,6.34,0,362192.4
20230723:1310,822.22,56.89,18.92,6,0,295999.2
20230723:1410,672.52,51.51,19.1,5.59,0,242107.2
20230723:1510,374.84,43.85,18.67,4.9,0,134942.4
20230723:1610,194.32,35.03,18.67,4.62,0,69955.2
20230723:1710,251.85,25.75,18.18,4,0,90666
20230723:1810,21.76,16.47,17.73,3.59,0,7833.6
20230723:1910,21.72,7.56,17.33,3.17,0,7819.2
20230723:2010,0,0,16.44,2.69,0,0
20230723:2110,0,0,15.48,2.34,0,0
20230723:2210,0,0,14.87,2.28,0,0
20230723:2310,0,0,14.21,2.21,0,0
20230724:0010,0,0,13.64,2.07,0,0
20230724:0110,0,0,13.03,2,0,0
20230724:0210,0,0,12.67,1.93,0,0
20230724:0310,0,0,12.56,1.79,0,0
20230724:0410,0,0,12.33,1.79,0,0
20230724:0510,4.53,5.76,12.75,1.59,0,1630.8
20230724:0610,17.03,14.57,13.44,2.07,0,6130.8
20230724:0710,53.92,23.8,13.71,2.55,0,19411.2
20230724:0810,180.06,33.11,13.78,3.52,0,64821.6
20230724:0910,233.62,42.06,13.91,4.21,0,84103.2
20230724:1010,329.05,50,13.89,4.28,0,118458
20230724:1110,291.73,55.91,14.06,4,0,105022.8
20230724:1210,306.31,58.42,14.82,4.14,0,110271.6
20230724:1310,168.38,56.7,15.93,3.93,0,60616.8
20230724:1410,148.52,51.33,16.54,3.79,0,53467.2
20230724:1510,290.7,43.69,17.22,3.59,0,104652
20230724:1610,250.79,34.88,17.57,3.31,0,90284.4
20230724:1710,212.78,25.6,17.38,2.83,0,76600.8
20230724:1810,57.7,16.32,17.04,2.21,0,20772
20230724:1910,35.3,7.4,15.59,2.41,0,12708
20230724:2010,0,0,14.52,2.34,0,0
20230724:2110,0,0,13.73,1.93,0,0
20230724:2210,0,0,13.27,1.79,0,0
20230724:2310,0,0,12.89,1.86,0,0
20230725:0010,0,0,12.61,1.93,0,0
20230725:0110,0,0,12.3,2,0,0
20230725:0210,0,0,12.07,2.07,0,0
20230725:0310,0,0,11.62,2,0,0
20230725:0410,0,0,11.31,1.72,0,0
