time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20230113:2210,0,0,5.82,4.83,0,0
20230113:2310,0,0,6.94,5.38,0,0
20230114:0010,0,0,7.57,5.52,0,0
20230114:0110,0,0,7.92,6.07,0,0
20230114:0210,0,0,8.41,6.76,0,0
20230114:0310,0,0,8.89,8.07,0,0
20230114:0410,0,0,9.13,8.97,0,0
20230114:0510,0,0,9.45,8.97,0,0
20230114:0610,0,0,9.93,8.48,0,0
20230114:0710,0,0,10.52,8.76,0,0
20230114:0810,0,0,10.73,8.07,0,0
20230114:0910,17.03,6.39,10.6,6.97,0,6130.8
20230114:1010,113.52,11.99,10.29,6.34,0,40867.2
20230114:1110,243.21,15.7,9.45,6.62,0,87555.6
20230114:1210,143.23,17.2,8.44,6.83,0,51562.8
20230114:1310,391.68,16.34,7.92,7.03,0,141004.8
20230114:1410,129.17,13.2,7.52,7.66,0,46501.2
20230114:1510,67.67,8.07,6.96,7.52,0,24361.2
20230114:1610,0,0,6.31,6.69,0,0
20230114:1710,0,0,5.9,6.41,0,0
20230114:1810,0,0,5.83,6.62,0,0
20230114:1910,0,0,5.68,5.93,0,0
20230114:2010,0,0,5.6,6,0,0
20230114:2110,0,0,5.4,6.14,0,0
20230114:2210,0,0,4.92,6.21,0,0
20230114:2310,0,0,4.63,6.07,0,0
20230115:0010,0,0,4.35,6.76,0,0
20230115:0110,0,0,3.82,6.83,0,0
20230115:0210,0,0,3.74,7.31,0,0
20230115:0310,0,0,3.63,7.45,0,0
20230115:0410,0,0,3.46,7.31,0,0
20230115:0510,0,0,3.73,7.31,0,0
20230115:0610,0,0,4.04,7.17,0,0
20230115:0710,0,0,4.2,7.38,0,0
20230115:0810,0,0,4.47,7.31,0,0
20230115:0910,6.62,6.51,4.57,6.34,0,2383.2
20230115:1010,88.46,12.13,5.18,5.93,0,31845.6
20230115:1110,28.38,15.86,5.84,5.52,0,10216.8
20230115:1210,360.55,17.38,6.19,5.79,0,129798
20230115:1310,483.1,16.53,6.47,5.72,0,173916
20230115:1410,503.85,13.4,6.62,5.59,0,181386
20230115:1510,299.78,8.27,6.02,5.59,0,107920.8
20230115:1610,0,0,5.09,5.31,0,0
20230115:1710,0,0,4.59,4.69,0,0
20230115:1810,0,0,4.05,3.86,0,0
20230115:1910,0,0,3.85,3.72,0,0
20230115:2010,0,0,3.19,2.69,0,0
20230115:2110,0,0,2.75,2.34,0,0
20230115:2210,0,0,2.81,2.14,0,0
20230115:2310,0,0,2.63,2.55,0,0
20230116:0010,0,0,2.58,3.03,0,0
20230116:0110,0,0,2.67,4.14,0,0
20230116:0210,0,0,2.4,4.83,0,0
20230116:0310,0,0,2.44,4.97,0,0
20230116:0410,0,0,2.5,5.1,0,0
20230116:0510,0,0,2.26,4.9,0,0
20230116:0610,0,0,2.14,4.48,0,0
20230116:0710,0,0,2.03,4.69,0,0
20230116:0810,0,0,1.81,4.28,0,0
20230116:0910,94.86,6.64,1.99,4.21,0,34149.6
20230116:1010,44.46,12.28,2.73,4.07,0,16005.6
20230116:1110,69.06,16.03,3.51,5.79,0,24861.6
20230116:1210,143.69,17.57,3.87,5.31,0,51728.4
20230116:1310,185.77,16.73,3.96,5.1,0,66877.2
20230116:1410,509.21,13.6,3.77,4.83,0,183315.6
20230116:1510,313.99,8.48,3.33,4,0,113036.4
20230116:1610,2.72,1.75,2.35,3.1,0,979.2
